mosi,miso
0x00,0x5F
,
,
0x5D,0x80
0x00,0x00
0x1D,0x80
0x00,0x00
,
,
0x5D,0x80
0x10,0x00
0x1D,0x80
0x00,0x10
,
,
0x5D,0x80
0x20,0x00
0x1D,0x80
0x00,0x20
,
,
0x5D,0x80
0x30,0x00
0x1D,0x80
0x00,0x30
,
,
0x5D,0x80
0x40,0x00
0x1D,0x80
0x00,0x40
,
,
0x5D,0x80
0x50,0x00
0x1D,0x80
0x00,0x50
,
,
0x5D,0x80
0x60,0x00
0x1D,0x80
0x00,0x60
,
,
0x5D,0x80
0x70,0x00
0x1D,0x80
0x00,0x70
,
,
0x5D,0x80
0x80,0x00
0x1D,0x80
0x00,0x80
,
,
0x5D,0x80
0x90,0x00
0x1D,0x80
0x00,0x98
,
,
0x5D,0x80
0x99,0x00
0x5F,0x80
0x04,0x00
,
,
0x5F,0x80
0x00,0x00
0x1F,0x80
0x04,0x1F
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0B
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0B
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x0A
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x07
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x09
,
,
0x5E,0x80
0x00,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x00,0x08
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x01
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x04
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x04
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x03
,
,
0x5E,0x80
0x01,0x00
0x5F,0x80
0x80,0x00
,
,
0x1E,0x80
0x01,0x02
,
,
0x5E,0x80
